Ticker,Name,Market Cap,Sector,Industry
ANX.AX,ANAXMETALS FPO [ANX],8764519,Basic Materials,Other Industrial Metals & Mining
ANZ.AX,ANZ GROUP FPO [ANZ],87110221824,Financial Services,Banks - Diversified
AO1.AX,"AO1.AX,0P0000RYW6,0",N/A,N/A,N/A
AOA.AX,AUSMON FPO [AOA],2410060,Basic Materials,Other Industrial Metals & Mining
AOF.AX,AU OFFICE FPO [AOF],179999392,Real Estate,REIT - Office
AOK.AX,AUS OIL FPO [AOK],2003560,Energy,Oil & Gas E&P
AON.AX,APOLLO MIN FPO [AON],10210759,Basic Materials,Other Industrial Metals & Mining
AOV.AX,AMOTIV FPO [AOV],1462421504,Consumer Cyclical,Auto Parts
APA.AX,APA GROUP STAPLED [APA],8870407168,Utilities,Utilities - Regulated Gas
APC.AX,APCMINERAL FPO [APC],1123903,Basic Materials,Other Industrial Metals & Mining
APE.AX,EAGERS FPO [APE],3171729408,Consumer Cyclical,Auto & Truck Dealerships
APL.AX,ASSOCIATEG FPO [APL],8473860,Financial Services,Asset Management
APW.AX,AIMSPROSEC UNIT [APW],75904896,Real Estate,REIT - Diversified
APX.AX,APPEN FPO [APX],724843328,Technology,Information Technology Services
APZ.AX,ASPEN STAPLED [APZ],487956128,Real Estate,Real Estate - Diversified
AQC.AX,AUSPACCOAL FPO [AQC],66544456,Energy,Thermal Coal
AQD.AX,AUSQUEST FPO [AQD],9039440,Basic Materials,Other Industrial Metals & Mining
AQI.AX,ALICANTO FPO [AQI],31177792,Basic Materials,Other Precious Metals & Mining
AQN.AX,AQUIRIAN FPO [AQN],14939490,Industrials,Rental & Leasing Services
AQX.AX,ALICEQUEEN FPO [AQX],9175120,Basic Materials,Other Industrial Metals & Mining
AQZ.AX,AAVIATION FPO [AQZ],471586464,Industrials,Airports & Air Services
AR1.AX,"AR1.AX,0P0001NNEE,0",N/A,N/A,N/A
AR3.AX,AUSTRARE FPO [AR3],14468090,Basic Materials,Other Industrial Metals & Mining
AR9.AX,ARCHTIS FPO [AR9],20519030,Technology,Software - Application
ARA.AX,ARIADNE FPO [ARA],97672000,Financial Services,Asset Management
ARB.AX,ARB CORP FPO [ARB],3337478144,Consumer Cyclical,Auto Parts
ARC.AX,ARC FUNDS FPO [ARC],4243893,Financial Services,Asset Management
ARD.AX,ARGENT MIN FPO [ARD],27467158,Basic Materials,Other Industrial Metals & Mining
ARF.AX,ARENA REIT STAPLED [ARF],1549707904,Real Estate,REIT - Specialty
ARG.AX,ARGO FPO [ARG],6930373632,Financial Services,Asset Management
ARI.AX,ARIKA RES FPO [ARI],19005270,Basic Materials,Gold
ARL.AX,ARDEARES FPO [ARL],64896976,Basic Materials,Other Industrial Metals & Mining
ARN.AX,ALDORO FPO [ARN],40387200,Basic Materials,Other Industrial Metals & Mining
ARR.AX,ARAREEARTH FPO NZ [ARR],136734224,Basic Materials,Other Industrial Metals & Mining
ART.AX,AIRTASKER FPO [ART],197281200,Communication Services,Internet Content & Information
ARU.AX,ARAFURA FPO [ARU],283397952,Basic Materials,Other Industrial Metals & Mining
ARV.AX,ARTEMIS FPO [ARV],17643042,Basic Materials,Other Industrial Metals & Mining
ARX.AX,AROA BIO FPO [ARX],269822272,Healthcare,Medical Devices
AS1.AX,ASARALTD FPO [AS1],17939878,Basic Materials,Gold
AS2.AX,ASKARI MET FPO [AS2],2405975,Basic Materials,Other Precious Metals & Mining
ASB.AX,AUSTAL LTD FPO [ASB],1118917760,Industrials,Aerospace & Defense
ASE.AX,ASTUTE MET FPO [ASE],14960792,Basic Materials,Other Industrial Metals & Mining
ASG.AX,AUTOSPORTS FPO [ASG],360337824,Consumer Cyclical,Auto & Truck Dealerships
ASH.AX,ASHLEYSERV FPO [ASH],25195800,Industrials,Staffing & Employment Services
ASK.AX,ABACUSKING STAPLED [ASK],1504644480,Real Estate,REIT - Industrial
ASL.AX,ANDEAN FPO [ASL],148935296,Basic Materials,Gold
ASM.AX,AUSSTRATM FPO [ASM],89753400,Basic Materials,Other Industrial Metals & Mining
ASN.AX,ANSON RES FPO [ASN],88617600,Basic Materials,Other Industrial Metals & Mining
ASO.AX,ASTONMIN FPO [ASO],15540720,Basic Materials,Other Industrial Metals & Mining
ASP.AX,ASPERMONT FPO [ASP],14820061,Communication Services,Publishing
ASQ.AX,AUSSILICAQ FPO [ASQ],6482780,Basic Materials,Other Industrial Metals & Mining
ASR.AX,ASRA FPO [ASR],4625260,Basic Materials,Gold
ASV.AX,ASSETVIS FPO [ASV],14787239,Technology,Information Technology Services
ASX.AX,ASX FPO [ASX],12616292352,Financial Services,Financial Data & Stock Exchanges
AT1.AX,ATOMO DIAG FPO [AT1],12784039,Healthcare,Medical Devices
ATA.AX,ATTURRA FPO [ATA],384541344,Technology,Information Technology Services
ATC.AX,ALTECH BAT FPO [ATC],90114304,Basic Materials,Specialty Chemicals
ATG.AX,ARTICORE FPO [ATG],84800640,Consumer Cyclical,Internet Retail
ATH.AX,ALTERITY FPO [ATH],47210940,Healthcare,Biotechnology
ATM.AX,ANEKA TAMB CDI 1:5 [ATM],4277473536,Basic Materials,Gold
ATP.AX,ATLASPEARL FPO [ATP],66688936,Consumer Cyclical,Luxury Goods
ATR.AX,ASTRON CDI 1:1 [ATR],125272808,Basic Materials,Other Industrial Metals & Mining
ATS.AX,AUSTRALIS FPO [ATS],10312081,Energy,Oil & Gas E&P
ATU.AX,"ATU.AX,0P0000WCS9,0",N/A,N/A,N/A
ATV.AX,ACTIVEPORT FPO [ATV],8989184,Technology,Information Technology Services
ATX.AX,AMPLIA FPO [ATX],32976004,Healthcare,Biotechnology
AU1.AX,THE AGENCY FPO [AU1],7912385,Real Estate,Real Estate Services
AUA.AX,AUDEARA FPO [AUA],7180863,Technology,Consumer Electronics
AUB.AX,AUB GROUP FPO [AUB],3520927488,Financial Services,Insurance Brokers
AUC.AX,AUSGOLD FPO [AUC],151561376,Basic Materials,Gold
AUE.AX,AURUM RES FPO [AUE],68149896,Basic Materials,Other Industrial Metals & Mining
AUG.AX,AUGUSTUS FPO [AUG],7137732,Basic Materials,Other Industrial Metals & Mining
